"","Sample","Plot_Number","Plant","Plate","Well","Plot","Treatment","Zone","Percent_Moisture","Lat","Lon","Basel_Diameter_estimated","Half_Tree_Cover","Tree_Height","Trunk_Circumference"
"plate2-G10-ITS","S9J",9,"J",2,"G10","Sap009","Sapling","Plateau",6.452269489,-41.96685998,-71.45571699,5.3,52,130,16.65044106
"plate2-G11-ITS","C1I",1,"I",2,"G11","Con001","Control","Plateau",7.066795741,-41.97108203,-71.464346,NA,NA,NA,NA
"plate2-G12-ITS","C7T",7,"T",2,"G12","Con007","Control","Plateau",3.613807983,-41.96816102,-71.46105099,NA,NA,NA,NA
"plate2-H01-ITS","S13J",13,"J",2,"H01","Sap013","Sapling","Plateau",9.637462236,-41.97090198,-71.45931099,3.2,48,87,10.05309649
"plate2-H02-ITS","C2D",2,"D",2,"H02","Con002","Control","Plateau",3.988413547,-41.96976297,-71.46476702,NA,NA,NA,NA
"plate2-H03-ITS","C14AG",14,"AG",2,"H03","Con014","Control","Plateau",4.68579235,-41.97177202,-71.46035504,NA,NA,NA,NA
"plate2-H04-ITS","C6J",6,"J",2,"H04","Con006","Control","Plateau",3.833504625,-41.96762701,-71.45878603,NA,NA,NA,NA
"plate2-PCR-neg-ITS-Tonia","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA
"plate3-A01-ITS","S3B",3,"B",3,"A01","Sap003","Sapling","Plateau",3.00061237,-41.96887901,-71.46297698,4.7,58,120,14.76548547
"plate3-A02-ITS","BLANK 1",NA,"",3,"A02","","","",NA,NA,NA,NA,NA,NA,NA
